Name,Product,Score,Price,Design,Reason
Emily,Men's UA Phantom 1 Shoes,65,60,75,"If they were more sleek and less bulky, she would consider them for workouts."
Michael,Men's UA Phantom 1 Shoes,50,50,40,
Sarah,Men's UA Phantom 1 Shoes,90,75,90,
David,Men's UA Phantom 1 Shoes,20,30,10,
Alex,Men's UA Phantom 1 Shoes,85,70,90,
Carlos,Men's UA Phantom 1 Shoes,55,50,60,
Lisa,Men's UA Phantom 1 Shoes,20,30,20,
Brandon,Men's UA Phantom 1 Shoes,40,40,30,
Katie,Men's UA Phantom 1 Shoes,75,70,80,"If the shoes were eco-friendly, she would consider it."
Sean,Men's UA Phantom 1 Shoes,30,40,20,
