Name,Product,Score,Price,Design,Reason
Emily,Pre-School Curry 12 'What The Bay' Basketball Shoes,20,30,40,
Michael,Pre-School Curry 12 'What The Bay' Basketball Shoes,10,20,10,
Sarah,Pre-School Curry 12 'What The Bay' Basketball Shoes,85,60,90,
David,Pre-School Curry 12 'What The Bay' Basketball Shoes,5,10,5,
Alex,Pre-School Curry 12 'What The Bay' Basketball Shoes,60,70,80,"If they were on sale, they would buy it."
Carlos,Pre-School Curry 12 'What The Bay' Basketball Shoes,10,10,20,
Lisa,Pre-School Curry 12 'What The Bay' Basketball Shoes,20,30,30,
Brandon,Pre-School Curry 12 'What The Bay' Basketball Shoes,20,40,30,
Katie,Pre-School Curry 12 'What The Bay' Basketball Shoes,20,30,30,
Sean,Pre-School Curry 12 'What The Bay' Basketball Shoes,10,10,10,
