Name,Product,Score,Price,Design,Reason
Emily,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,90,10,
Michael,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",5,90,5,
Sarah,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",90,90,90,
David,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",5,20,5,
Alex,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",90,80,90,
Carlos,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",5,20,5,
Lisa,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",5,70,5,
Brandon,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",10,60,10,
Katie,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",20,70,20,
Sean,"Men's UA Performance Tech Mesh Graphic 6"" Boxerjock®",5,20,5,
