Name,Product,Score,Price,Design,Reason
Emily,Women's Project Rock Mid Sports Bra,70,70,70,"If the sports bra was a bit more fashionable to wear outside of working out, she'd buy it."
Michael,Women's Project Rock Mid Sports Bra,5,20,10,
Sarah,Women's Project Rock Mid Sports Bra,50,50,50,
David,Women's Project Rock Mid Sports Bra,5,20,10,
Alex,Women's Project Rock Mid Sports Bra,60,60,70,"If the sports bra had more versatile design elements, they would be more likely to buy it."
Carlos,Women's Project Rock Mid Sports Bra,10,30,10,
Lisa,Women's Project Rock Mid Sports Bra,20,40,30,
Brandon,Women's Project Rock Mid Sports Bra,10,30,20,
Katie,Women's Project Rock Mid Sports Bra,70,60,70,"If the sports bra had a longer lifespan, she'd buy it."
Sean,Women's Project Rock Mid Sports Bra,5,10,10,
