Name,Product,Score,Price,Design,Reason
Emily,Women's Project Rock Woven Full-Zip,70,60,70,"If the jacket was more versatile for everyday wear outside of the gym, she'd buy it."
Michael,Women's Project Rock Woven Full-Zip,10,30,20,
Sarah,Women's Project Rock Woven Full-Zip,50,50,50,
David,Women's Project Rock Woven Full-Zip,5,20,10,
Alex,Women's Project Rock Woven Full-Zip,70,70,80,"If the jacket was made from sustainable materials, they would be more likely to buy it."
Carlos,Women's Project Rock Woven Full-Zip,10,30,10,
Lisa,Women's Project Rock Woven Full-Zip,20,30,40,
Brandon,Women's Project Rock Woven Full-Zip,60,70,70,"If the jacket was more durable and practical for outdoor work, he'd buy it."
Katie,Women's Project Rock Woven Full-Zip,70,60,70,"If the jacket was more eco-friendly, she'd buy it."
Sean,Women's Project Rock Woven Full-Zip,5,10,10,
