Name,Product,Score,Price,Design,Reason
Emily,Men's Project Rock BSR 5 Training Shoes,70,65,75,It needs to be more versatile for both work and workout settings.
Michael,Men's Project Rock BSR 5 Training Shoes,80,70,70,It needs to be rated higher by tech experts and have better durability.
Sarah,Men's Project Rock BSR 5 Training Shoes,85,70,80,
David,Men's Project Rock BSR 5 Training Shoes,30,30,30,
Alex,Men's Project Rock BSR 5 Training Shoes,75,60,80,It needs to be made from more sustainable and eco-friendly materials.
Carlos,Men's Project Rock BSR 5 Training Shoes,40,50,40,
Lisa,Men's Project Rock BSR 5 Training Shoes,40,50,40,
Brandon,Men's Project Rock BSR 5 Training Shoes,50,50,50,
Katie,Men's Project Rock BSR 5 Training Shoes,50,60,60,
Sean,Men's Project Rock BSR 5 Training Shoes,30,30,30,
