Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Charged Cotton Short Sleeve,85,75,80,
Michael,Men's UA Icon Charged Cotton Short Sleeve,80,85,75,"If the shirt had a sweat-wicking material, he would consider it."
Sarah,Men's UA Icon Charged Cotton Short Sleeve,75,90,80,"If the shirt was trending on TikTok, she would buy it."
David,Men's UA Icon Charged Cotton Short Sleeve,60,70,50,"If the shirt was a brand he recognized, he would consider it."
Alex,Men's UA Icon Charged Cotton Short Sleeve,80,80,85,
Carlos,Men's UA Icon Charged Cotton Short Sleeve,80,80,70,"If the shirt was sustainable, he would consider it."
Lisa,Men's UA Icon Charged Cotton Short Sleeve,70,90,70,"If the shirt was stain-resistant, she would consider it."
Brandon,Men's UA Icon Charged Cotton Short Sleeve,80,90,70,"If the shirt was breathable, he would consider it."
Katie,Men's UA Icon Charged Cotton Short Sleeve,85,80,80,
Sean,Men's UA Icon Charged Cotton Short Sleeve,60,70,50,"If the shirt was endorsed by academic researchers, he may consider it."
