Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Fleece Full-Zip Hoodie,65,70,60,"If the hoodie was a darker or more versatile color, she would buy it."
Michael,Men's UA Icon Fleece Full-Zip Hoodie,80,70,70,If it was a more durable material he would buy it.
Sarah,Men's UA Icon Fleece Full-Zip Hoodie,90,70,90,
David,Men's UA Icon Fleece Full-Zip Hoodie,5,20,5,
Alex,Men's UA Icon Fleece Full-Zip Hoodie,90,70,90,
Carlos,Men's UA Icon Fleece Full-Zip Hoodie,30,40,30,
Lisa,Men's UA Icon Fleece Full-Zip Hoodie,30,60,30,
Brandon,Men's UA Icon Fleece Full-Zip Hoodie,70,70,70,"If the hoodie was a more durable workwear material, he would buy it."
Katie,Men's UA Icon Fleece Full-Zip Hoodie,80,70,80,"If the hoodie was made from recycled materials, she would buy it."
Sean,Men's UA Icon Fleece Full-Zip Hoodie,10,20,10,
