Name,Product,Score,Price,Design,Reason
Emily,Unisex UA SpeedForm Gemini Running Shoes,60,65,60,A campaign showcasing the shoes as being good for cross-training would make me more likely to purchase these shoes.
Michael,Unisex UA SpeedForm Gemini Running Shoes,50,50,40,N/A
Sarah,Unisex UA SpeedForm Gemini Running Shoes,80,60,80,A more unique design is what it would take for me to buy this.
David,Unisex UA SpeedForm Gemini Running Shoes,10,20,10,N/A
Alex,Unisex UA SpeedForm Gemini Running Shoes,70,60,70,A unique collaboration is what would make me buy these.
Carlos,Unisex UA SpeedForm Gemini Running Shoes,40,30,30,N/A
Lisa,Unisex UA SpeedForm Gemini Running Shoes,20,30,20,N/A
Brandon,Unisex UA SpeedForm Gemini Running Shoes,10,10,10,N/A
Katie,Unisex UA SpeedForm Gemini Running Shoes,50,40,50,N/A
Sean,Unisex UA SpeedForm Gemini Running Shoes,10,20,10,N/A
