Name,Product,Score,Price,Design,Reason
Emily,Men's UA Icon Fleece Shorts,60,60,70,It needs to be more versatile for both work and workout settings.
Michael,Men's UA Icon Fleece Shorts,80,70,70,It needs to have better weather-resistant properties.
Sarah,Men's UA Icon Fleece Shorts,90,80,90,
David,Men's UA Icon Fleece Shorts,50,70,60,
Alex,Men's UA Icon Fleece Shorts,75,60,80,It needs to be made from more sustainable and eco-friendly materials.
Carlos,Men's UA Icon Fleece Shorts,70,60,70,It needs to have data-driven case studies showcasing efficiency.
Lisa,Men's UA Icon Fleece Shorts,80,70,70,It needs to be highly rated by parenting communities.
Brandon,Men's UA Icon Fleece Shorts,75,60,70,It needs to be known for durability and functionality.
Katie,Men's UA Icon Fleece Shorts,90,80,90,
Sean,Men's UA Icon Fleece Shorts,65,60,60,It needs to have peer-reviewed studies supporting its benefits.
