Name,Product,Score,Price,Design,Reason
Emily,Men's HeatGear® OG Compression Long Sleeve,20,90,20,
Michael,Men's HeatGear® OG Compression Long Sleeve,90,90,90,
Sarah,Men's HeatGear® OG Compression Long Sleeve,30,90,30,
David,Men's HeatGear® OG Compression Long Sleeve,5,20,5,
Alex,Men's HeatGear® OG Compression Long Sleeve,40,70,30,
Carlos,Men's HeatGear® OG Compression Long Sleeve,20,40,20,
Lisa,Men's HeatGear® OG Compression Long Sleeve,20,50,20,
Brandon,Men's HeatGear® OG Compression Long Sleeve,80,90,80,"If it was a workwear material, he would buy it."
Katie,Men's HeatGear® OG Compression Long Sleeve,30,80,30,
Sean,Men's HeatGear® OG Compression Long Sleeve,10,20,10,
