Name,Product,Score,Price,Design,Reason
Emily,Men's UA Unstoppable Tapered Pants,80,70,75,"If the marketing suggested the pants were great for travel, I would be more likely to buy it."
Michael,Men's UA Unstoppable Tapered Pants,70,60,70,A more durable material that I would not have to worry about messing up is what would make me buy it.
Sarah,Men's UA Unstoppable Tapered Pants,90,75,95,
David,Men's UA Unstoppable Tapered Pants,30,40,30,N/A
Alex,Men's UA Unstoppable Tapered Pants,70,50,60,A collaboration with a smaller creative company is what would make me consider purchasing these.
Carlos,Men's UA Unstoppable Tapered Pants,80,75,75,"Better data showing performance in high-stress scenarios, I would instantly purchase."
Lisa,Men's UA Unstoppable Tapered Pants,40,50,30,N/A
Brandon,Men's UA Unstoppable Tapered Pants,50,50,40,N/A
Katie,Men's UA Unstoppable Tapered Pants,80,60,70,"If they were guaranteed to be high-quality and would last me years without issues, it would be an instant buy."
Sean,Men's UA Unstoppable Tapered Pants,30,40,30,N/A
