Name,Product,Score,Price,Design,Reason
Emily,Unisex UA SlipSpeed Mega Fade Shoes,70,65,80,"If the product had marketing showcasing its use in a professional setting, it would be an easier purchase."
Michael,Unisex UA SlipSpeed Mega Fade Shoes,30,50,30,N/A
Sarah,Unisex UA SlipSpeed Mega Fade Shoes,85,60,90,
David,Unisex UA SlipSpeed Mega Fade Shoes,20,30,20,N/A
Alex,Unisex UA SlipSpeed Mega Fade Shoes,80,65,80,"If they had more color options that were expressive and unique, it would be an instant buy."
Carlos,Unisex UA SlipSpeed Mega Fade Shoes,50,40,40,N/A
Lisa,Unisex UA SlipSpeed Mega Fade Shoes,20,30,20,N/A
Brandon,Unisex UA SlipSpeed Mega Fade Shoes,20,20,10,N/A
Katie,Unisex UA SlipSpeed Mega Fade Shoes,60,50,60,A long-term review from a trusted online source is what it would take to make me buy this.
Sean,Unisex UA SlipSpeed Mega Fade Shoes,20,30,20,N/A
