Name,Product,Score,Price,Design,Reason
Emily,Men's UA Left Chest Logo Short Sleeve,80,90,70,"If the shirt came in her preferred color, she may consider it for workout clothes."
Michael,Men's UA Left Chest Logo Short Sleeve,85,90,75,
Sarah,Men's UA Left Chest Logo Short Sleeve,80,95,80,
David,Men's UA Left Chest Logo Short Sleeve,70,80,60,"If the shirt was made in the USA, he would buy it."
Alex,Men's UA Left Chest Logo Short Sleeve,80,90,80,
Carlos,Men's UA Left Chest Logo Short Sleeve,85,90,70,
Lisa,Men's UA Left Chest Logo Short Sleeve,85,95,70,
Brandon,Men's UA Left Chest Logo Short Sleeve,85,95,70,
Katie,Men's UA Left Chest Logo Short Sleeve,85,90,80,
Sean,Men's UA Left Chest Logo Short Sleeve,70,80,60,"If the shirt had been proven through peer reviewed studies to be better than other alternatives, he would buy it."
