Name,Product,Score,Price,Design,Reason
Emily,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,70,60,80,"If they were a more neutral or professional color, she would buy them."
Michael,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,10,20,10,
Sarah,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,90,60,90,
David,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,5,20,10,
Alex,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,85,60,90,
Carlos,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,40,40,30,
Lisa,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,40,50,30,
Brandon,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,20,30,20,
Katie,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,70,70,80,"If they were a more neutral color and design, she would buy them."
Sean,Unisex Curry Fox 1 'Reign Rose' Basketball Shoes,10,20,10,
